sample_id,audio_file,recording_url,year,grand_prix,country,location,meeting_key,session_key,session_type,session_name,driver_number,driver_name,team_name,lap,lap_time,sector_1,sector_2,sector_3,i1_speed,i2_speed,top_speed,is_pit_out_lap,radio_time,lap_start_time,radio_to_lap_start_seconds,tyre_compound,tyre_age,stint_number,position,gap_to_leader,interval,air_temperature,track_temperature,humidity,wind_speed,rainfall,quality_score
2024_1232_9496_63_lap_11_radio_008,2024_1232_9496_63_lap_11_radio_008.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/GEORUS01_63_20240407_064847.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,63,George RUSSELL,Mercedes,11,98.949,35.861,44.209,18.879,,299,301,False,2024-04-07T05:49:10.328000+00:00,2024-04-07T05:48:51.717000+00:00,18.611,HARD,9,2,,,,22.1,38.5,38.0,2.6,0,100
2024_1232_9496_44_lap_21_radio_009,2024_1232_9496_44_lap_21_radio_009.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/LEWHAM01_44_20240407_070627.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,44,Lewis HAMILTON,Mercedes,21,98.642,35.841,43.997,18.804,,297,298,False,2024-04-07T06:06:47.718000+00:00,2024-04-07T06:05:23.952000+00:00,83.766,HARD,19,2,,,,21.0,34.4,45.0,2.5,0,100
2024_1232_9496_63_lap_24_radio_010,2024_1232_9496_63_lap_24_radio_010.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/GEORUS01_63_20240407_071024.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,63,George RUSSELL,Mercedes,24,95.149,34.356,42.322,18.471,277,295,292,False,2024-04-07T06:10:45.853000+00:00,2024-04-07T06:10:36.947000+00:00,8.906,HARD,1,3,,,,21.0,35.6,46.0,2.5,0,100
2024_1232_9496_1_lap_28_radio_011,2024_1232_9496_1_lap_28_radio_011.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/MAXVER01_1_20240407_071611.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,28,96.496,34.883,43.01,18.603,,297,287,False,2024-04-07T06:16:29.046000+00:00,2024-04-07T06:16:25.497000+00:00,3.549,MEDIUM,11,3,,,,21.4,35.7,47.0,3.0,0,100
2024_1232_9496_63_lap_33_radio_012,2024_1232_9496_63_lap_33_radio_012.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/GEORUS01_63_20240407_072624.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,63,George RUSSELL,Mercedes,33,96.383,34.868,42.9,18.615,278,301,299,False,2024-04-07T06:25:36.015000+00:00,2024-04-07T06:25:05.185000+00:00,30.83,HARD,10,3,,,,21.3,36.7,47.0,2.1,0,100
2024_1232_9496_44_lap_36_radio_013,2024_1232_9496_44_lap_36_radio_013.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/LEWHAM01_44_20240407_072947.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,44,Lewis HAMILTON,Mercedes,36,96.191,34.637,43.02,18.534,280,300,299,False,2024-04-07T06:30:11.279000+00:00,2024-04-07T06:29:58.257000+00:00,13.022,HARD,12,3,,,,21.0,35.1,48.0,1.4,0,100
2024_1232_9496_63_lap_39_radio_014,2024_1232_9496_63_lap_39_radio_014.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/GEORUS01_63_20240407_073456.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,63,George RUSSELL,Mercedes,39,94.404,34.005,42.106,18.293,281,299,296,False,2024-04-07T06:35:17.645000+00:00,2024-04-07T06:35:03.873000+00:00,13.772,MEDIUM,2,4,,,,20.6,34.0,50.0,1.8,0,100
2024_1232_9496_63_lap_39_radio_015,2024_1232_9496_63_lap_39_radio_015.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/GEORUS01_63_20240407_073503.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,63,George RUSSELL,Mercedes,39,94.404,34.005,42.106,18.293,281,299,296,False,2024-04-07T06:35:17.821000+00:00,2024-04-07T06:35:03.873000+00:00,13.948,MEDIUM,2,4,,,,20.6,34.0,50.0,1.8,0,100
2024_1232_9496_1_lap_41_radio_016,2024_1232_9496_1_lap_41_radio_016.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/MAXVER01_1_20240407_073741.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,1,Max VERSTAPPEN,Red Bull Racing,41,94.273,33.997,42.069,18.207,,298,297,False,2024-04-07T06:38:09.427000+00:00,2024-04-07T06:37:34.426000+00:00,35.001,HARD,6,4,,,,20.4,33.1,51.0,2.6,0,100
2024_1232_9496_44_lap_47_radio_017,2024_1232_9496_44_lap_47_radio_017.mp3,https://livetiming.formula1.com/static/2024/2024-04-07_Japanese_Grand_Prix/2024-04-07_Race/TeamRadio/LEWHAM01_44_20240407_074720.mp3,2024,Suzuka,Japan,Suzuka,1232,9496,Race,Race,44,Lewis HAMILTON,Mercedes,47,94.679,33.889,42.469,18.321,,300,299,False,2024-04-07T06:47:48.999000+00:00,2024-04-07T06:47:48.118000+00:00,0.881,MEDIUM,7,4,,,,19.9,32.2,56.0,1.7,0,100
